conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,date,member,generation
1935475305088696661,2025-06-18 23:10:46+00:00,3,Ku pikir cintaku habis atau aku tak setia. Nyatanya kita tumbuh hanya saja di jalur masing-masing. Tumbuh lebih baik dan cari panggilanmu :) @Freya_JKT48 .. Aku menunggumu mendukungmu dan memperhatikanmu. Hanya saja tak terlihat. I'm with you https://t.co/o9xDWsjRCR,1935475305088696661,https://pbs.twimg.com/media/GtwwhPBXUAAB0ps.jpg,,in,0,0,0,https://x.com/undefined/status/1935475305088696661,1632898690825474048,2025-06-18,Freya,Gen 7
1935334235604402531,2025-06-18 22:15:18+00:00,0,@rui_aozora_ @Soeefff @Freya_JKT48 @A_GitaJKT48 @A_LuluJKT48 Ini sihh rill karena muka samping jadi kelihatan kaya ci shani,1935461343823544802,,rui_aozora_,in,0,1,0,https://x.com/undefined/status/1935461343823544802,1607766856269717504,2025-06-18,Freya,Gen 7
1935437930664968427,2025-06-18 20:42:16+00:00,1,damn. jam-jam kangen kak ci uni @Freya_JKT48 ,1935437930664968427,,,in,0,0,0,https://x.com/undefined/status/1935437930664968427,1396574991752122368,2025-06-18,Freya,Gen 7
1935402250509369814,2025-06-18 18:20:29+00:00,0,Cantiknya oii @Freya_JKT48,1935402250509369814,,,in,0,0,0,https://x.com/undefined/status/1935402250509369814,1745134420594733057,2025-06-18,Freya,Gen 7
1935385791653695765,2025-06-18 17:22:18+00:00,10,@SNayla_JKT48 yeey hbd dedek,1935387609871827044,,SNayla_JKT48,in,0,0,0,https://x.com/undefined/status/1935387609871827044,1254993747126837248,2025-06-18,Freya,Gen 7
1935387315196801183,2025-06-18 17:21:08+00:00,1,Day 78 @Freya_JKT48 Nama yang indah Freyanashifa Jayawardana Sebuah mahakarya dari Sang Pencipta https://t.co/oK967LONSG,1935387315196801183,https://pbs.twimg.com/media/Gtvgfx_WgAAbm4p.jpg,,in,0,0,0,https://x.com/undefined/status/1935387315196801183,1774039651415883776,2025-06-18,Freya,Gen 7
1820301502076092484,2025-06-18 16:48:05+00:00,0,@FritzyForce @bang_pio21 @A_FionyJKT48 @Symfiony @RFritzy_JKT48 Min Gabungan gitu momen 3 F Fritzy Freya Fiony Jarang2 loh,1935378999850528775,,FritzyForce,in,0,0,0,https://x.com/undefined/status/1935378999850528775,1841000798785830914,2025-06-18,Freya,Gen 7
1935340874164318549,2025-06-18 16:44:01+00:00,1,@Soeefff @Freya_JKT48 Keren banggg,1935377975689757171,,Soeefff,in,0,0,0,https://x.com/undefined/status/1935377975689757171,1244552661514326016,2025-06-18,Freya,Gen 7
1935374195292242027,2025-06-18 16:29:00+00:00,1,hai cantik kalau kamu ada waktu luang boleh minta tolong cek dan baca dm IG dari aku? @Freya_JKT48 kalau kamu sudah cek dan membacanya aku ucapkan terima kasih banyak selamat beristirahat jika tidak ada kegiatan. ️,1935374195292242027,,,in,0,0,0,https://x.com/undefined/status/1935374195292242027,1735355571476545536,2025-06-18,Freya,Gen 7
1935340874164318549,2025-06-18 16:21:34+00:00,0,@Soeefff @Freya_JKT48 Tapi ini tetap keren loh bang ,1935372326536966600,,Soeefff,in,0,0,0,https://x.com/undefined/status/1935372326536966600,1862498086133932035,2025-06-18,Freya,Gen 7
1935340874164318549,2025-06-18 16:20:19+00:00,1,@mueheheh300 @Freya_JKT48 Mungkin lebih ke sibuk real life lah ya,1935372010282184804,,mueheheh300,in,0,0,0,https://x.com/undefined/status/1935372010282184804,1677606331824623616,2025-06-18,Freya,Gen 7
1935340874164318549,2025-06-18 16:19:25+00:00,0,@bigbabolgam @Freya_JKT48 Ala-ala wpap bang . Tapi wpap yang sering gw liat itu facetingnya jauh lebih rapi + jago kombinasiin warna buat gelap terangnya,1935371784913932681,,bigbabolgam,in,0,1,0,https://x.com/undefined/status/1935371784913932681,1677606331824623616,2025-06-18,Freya,Gen 7
1935340874164318549,2025-06-18 16:08:52+00:00,4,@Soeefff @Freya_JKT48 bisa jadi rasa cinta berkurang atau kesibukan real life,1935369131353850198,,Soeefff,in,0,1,0,https://x.com/undefined/status/1935369131353850198,1507024377178894337,2025-06-18,Freya,Gen 7
1935361388664471779,2025-06-18 15:38:06+00:00,2,#WTS BDTS Freya 2024 XL Belum Pernah dipakai tag masih ada Atau #WTT ke lightstick jkt48 v2 used juga gapapa Bisa shopee dan free ongkir https://t.co/8naNbmX5oM,1935361388664471779,https://pbs.twimg.com/media/GtvI7R_aQAElyel.jpg,,in,0,0,0,https://x.com/undefined/status/1935361388664471779,1739493243686137856,2025-06-18,Freya,Gen 7
1935359024066871456,2025-06-18 15:28:43+00:00,5,Ngintip-ngintip di teaser #RajaHati selain ada @A_LuluJKT48 sama @Freya_JKT48 kayaknya ada kamu juga deh @A_GitaJKT48 . Aaahh... Seneng banget https://t.co/614RQ6VYeK,1935359024066871456,https://pbs.twimg.com/media/GtvGxoqXMAAmhwY.jpg,,in,0,1,0,https://x.com/undefined/status/1935359024066871456,628122394,2025-06-18,Freya,Gen 7
1935353562558775744,2025-06-18 15:07:01+00:00,18,luv cintakuuu @A_GitaJKT48 bonus syaang @Freya_JKT48 juga @A_LuluJKT48 https://t.co/cvSl2hnoeY,1935353562558775744,https://pbs.twimg.com/media/GtvBzvvW8AA1yNh.jpg,,in,0,0,0,https://x.com/undefined/status/1935353562558775744,1209121596704575490,2025-06-18,Freya,Gen 7
1935348677809422675,2025-06-18 14:47:36+00:00,0,masa @Freya_JKT48 dikira nya @AM_EllaJKT48 sperti nya ibu ku mulai keliru krna oshi ku ada 2 skrng hmm.. https://t.co/23Zd5IlOQB,1935348677809422675,https://pbs.twimg.com/media/Gtu9W45XIAAYidz.jpg,,in,0,0,0,https://x.com/undefined/status/1935348677809422675,1818183297769545728,2025-06-18,Freya,Gen 7
1935340874164318549,2025-06-18 14:37:07+00:00,0,@garpusome44 @Freya_JKT48 Masih perlu banyak belajar bang nyoba coloring aneh terus hasil akhirnya wkwk.,1935346039676092925,,garpusome44,in,0,0,0,https://x.com/undefined/status/1935346039676092925,1677606331824623616,2025-06-18,Freya,Gen 7
1935340874164318549,2025-06-18 14:34:45+00:00,1,@Soeefff @Freya_JKT48 Wawww keren,1935345444173005176,,Soeefff,in,0,0,0,https://x.com/undefined/status/1935345444173005176,1525940162408349696,2025-06-18,Freya,Gen 7
1935340874164318549,2025-06-18 14:26:04+00:00,2,@Soeefff @Freya_JKT48 Selalu keren,1935343258206617860,,Soeefff,in,0,1,0,https://x.com/undefined/status/1935343258206617860,1758467104767090688,2025-06-18,Freya,Gen 7
1935340874164318549,2025-06-18 14:21:59+00:00,1,@Soeefff @Freya_JKT48 Wow baru liat kerenn cuy. Sepertinya yang kurang motivasi aja Semangat² lanjutkan ,1935342229872378314,,Soeefff,in,0,0,0,https://x.com/undefined/status/1935342229872378314,1334683180968775680,2025-06-18,Freya,Gen 7
1935337102562226438,2025-06-18 14:21:42+00:00,0,@mbudsprasetyo @Kimmy_JKT48 @F_OllaJKT48 @Freya_JKT48 @JTrisha_JKT48 @C_JessiJKT48 @M_OlineJKT48 @Regie_JKT48 wenak iki mas otw nyosba,1935342159437381810,,mbudsprasetyo,in,0,1,0,https://x.com/undefined/status/1935342159437381810,1400800425402458118,2025-06-18,Freya,Gen 7
